candidate_id,tier,space,axis_pc,blind_axis_score
C0057,A,centered,2,0.0368953812603475
C0058,A,centered,2,-0.03329385480830024
C0059,A,centered,2,0.05726137113293396
C0060,A,centered,2,-0.045270321182569184
C0061,A,centered,2,-0.10007228196684478
C0062,A,centered,2,0.07452457110731366
C0063,A,centered,2,-0.04792232827706325
C0064,A,centered,2,0.07277234741692788
C0065,A,centered,2,-0.07477178238663881
C0066,A,centered,2,0.050912263996071495
C0067,A,centered,2,-0.06601152064186938
C0068,A,centered,2,0.05086272205744282
C0069,A,centered,2,-0.06445234834871254
C0070,A,centered,2,0.050726103713537266
C0071,A,centered,2,-0.050642967767246874
C0072,A,centered,2,0.038971784967362796
C0073,A,centered,2,0.01812470435027707
C0074,A,centered,2,0.04824123419292725
C0075,A,centered,2,-0.05078255967859317
C0076,A,centered,2,0.009473620258990081
C0077,A,centered,2,-0.0373889828901097
C0078,A,centered,2,0.04272323120541757
C0079,A,centered,2,-0.04921256903504604
C0080,A,centered,2,0.027493425129402806
C0081,A,centered,2,-0.03561079989951353
C0082,A,centered,2,0.07867554921183065
C0083,A,centered,2,-0.014583836270112
C0084,A,centered,2,-0.010296822105503551
C0085,A,centered,2,-0.10373575578480618
C0086,A,centered,2,-0.03197874055461632
C0087,A,centered,2,-0.05946982453093039
C0088,A,centered,2,0.037086032703275616
C0089,A,centered,2,-0.058998340022648185
C0090,A,centered,2,0.03354755508314215
C0091,A,centered,2,-0.07620342258931286
C0092,A,centered,2,0.03268765212053323
C0093,A,centered,2,-0.0721207703943417
C0094,A,centered,2,0.010360613223484815
C0095,A,centered,2,-0.041537077733861345
C0096,A,centered,2,0.08105829279015941
C0097,A,centered,2,-0.08451766902923726
C0098,A,centered,2,0.04994390038223079
C0099,A,centered,2,-0.07025448087341948
C0100,A,centered,2,0.03303373259158745
C0101,A,centered,2,-0.03900613306284392
C0102,A,centered,2,-0.09032362351065376
C0103,A,centered,2,0.0652268137853778
C0104,A,centered,2,-0.07103109548163389
C0105,A,centered,2,-0.08342287377655719
C0106,A,centered,2,0.08697587840335576
C0107,A,centered,2,-0.04157537369774275
C0108,A,centered,2,-0.053899166807851624
C0109,A,centered,2,0.10384450583408586
C0110,A,centered,2,-0.03446730334102395
C0111,A,centered,2,-0.059062617012560985
C0112,A,centered,2,0.05343956485823194
C0113,A,centered,2,-0.008202835048769426
C0114,A,centered,2,0.07928533903427178
C0115,A,centered,2,-0.04379718063640584
C0116,A,centered,2,0.0609985125820996
C0117,A,centered,2,-0.08513117518255374
C0118,A,centered,2,0.051915126375684385
C0119,A,centered,2,0.0009531412139090441
C0120,A,centered,2,0.05527777054215353
C0121,A,centered,2,-0.03664457030725196
C0122,A,centered,2,0.060035836640173555
C0123,A,centered,2,-0.0798559485070284
C0124,A,centered,2,-0.009331660371370124
C0125,A,centered,2,-0.06058945829868642
C0126,A,centered,2,0.07534591521373553
C0127,A,centered,2,-0.10644784749387745
C0128,A,centered,2,-0.02125372705039621
C0129,A,centered,2,0.04104952008949488
C0130,A,centered,2,0.10064144209420564
C0131,A,centered,2,-0.0722791049208287
C0132,A,centered,2,0.042152741427040306
C0133,A,centered,2,-0.11351624630455628
C0134,A,centered,2,0.01867119478706647
C0135,A,centered,2,-0.08564690682202943
C0136,A,centered,2,0.058778556419453516
