,truth,behavioral,tfidf,w2v,ws1_tierA,ws1_tierB
truth,1.0,0.9522547454009432,0.9393954382457029,0.856135843204083,0.8572500450074031,0.7323950529887266
behavioral,0.9522547454009432,1.0,0.9116549791308162,0.840746549243498,0.8474816376833357,0.7175713945839036
tfidf,0.9393954382457029,0.9116549791308162,1.0,0.9002125044533019,0.8752132479143381,0.7465342075877774
w2v,0.8561358432040831,0.8407465492434981,0.9002125044533019,1.0,0.841850331400494,0.8235745264252726
ws1_tierA,0.8572500450074031,0.8474816376833357,0.8752132479143381,0.841850331400494,1.0,0.7787833378577964
ws1_tierB,0.7323950529887266,0.7175713945839036,0.7465342075877774,0.8235745264252726,0.7787833378577964,1.0
