,truth,behavioral,tfidf,w2v,ws1_tierA,ws1_tierB
truth,1.0,0.9799968238475132,0.9737576975157686,0.8853820551346304,0.9000689210126096,0.7211886749352208
behavioral,0.9799968238475132,0.9999999999999999,0.9693549233751885,0.8794044286797892,0.9002728747413731,0.7169162513363257
tfidf,0.9737576975157686,0.9693549233751885,0.9999999999999999,0.9135125195246605,0.9117371068022444,0.7253956016438893
w2v,0.8853820551346304,0.8794044286797892,0.9135125195246605,1.0,0.8586539568567059,0.8173312704255059
ws1_tierA,0.9000689210126096,0.9002728747413731,0.9117371068022444,0.8586539568567059,0.9999999999999999,0.7740004181098362
ws1_tierB,0.7211886749352208,0.7169162513363257,0.7253956016438893,0.8173312704255059,0.7740004181098362,0.9999999999999998
